name,price,capacity_w,capacity_va
APC SMX2000RMLV2U,1449,1800,1920
APC SMX2200RMHV2U,2425,1980,2200
APC SUM1500RMXLI2U,,1425,1500
APC SUM3000RMXL2U,2064.19,2850,3000
APC SURTD5000RMXLI,,3500,5000
APC SURTD5000RMXLP3U,6935,4000,5000
APC SURTD5000XLI,,3500,5000
Tripp Lite AVR550U,87,300,550
Tripp Lite OMNIVSINT1000,,500,1000
Tripp Lite SMART1050SLTAA,,650,1050
Tripp Lite SMART1200LCD,324.67,700,1200
Tripp Lite SMART1500RM2UN,1198,1350,1500
Tripp Lite SMART1500RMXL2UA,873.27,1350,1500
Tripp Lite SMART3000RM2UN,1869.99,2250,3000
Tripp Lite SU3000RTXLCD2U,2496.98,2700,3000
Tripp Lite SU3000XLCD,,2700,3000
Tripp Lite SU1500XLCD,1225,1350,1500
Tripp Lite SMART750,,450,750
Tripp Lite SMX1000RT2U,,700,1000
Tripp Lite SMX1200XLHG,1046.99,750,1000
Tripp Lite SMX1500LCDT,292.39,900,1500
Tripp Lite SMX2200XLRT2U,,1920,2200
Tripp Lite SMART700,,450,700
Tripp Lite OMNIVSINT1500XL,418.32,940,1500
Tripp Lite INTERNET900U,143.99,480,900
CyberPower CP1500PFCLCDTAA,309.95,900,1500
CyberPower CP425SLG,,255,425
CyberPower CP750LCD,,420,750
CyberPower CP850AVRLCD,164.95,510,850
CyberPower CS16U48V-8,,16,
CyberPower OL3000RTXL2U,2332.94,2700,3000
CyberPower PR1000LCD,677.95,700,1000
CyberPower PR1500LCDRTXL2U,,1350,1500
CyberPower PR2200LCDRT2U,,1600,2170
CyberPower PR2200LCDRTXL2U,,2150,2150
CyberPower PR3000LCDRTXL2U,,3000,3000
Tripp Lite SMART500RT1U,254.22,300,500
HP AF448A,,670,1000
Lenovo 33L3478,,,675
Lenovo 55943AX,,2700,3000
Eaton 66942,,250,500
CyberPower CST1500S,,900,1500
